,Id,Cantidad_Victimas,Fecha,Anio,Mes,Dia,Hora,Franja_Horaria,Lugar_Hecho,Tipo_Calle,Calle,Altura,Barrio,Coordenada x,Coordenada y,Participantes,Victima,Acusado,Hora del día,Dia_Semana,Tipo_Dia
148,20170009,1,2017-01-16,2017,1,16,13:56:00,Tarde,AU 25 DE MAYO Y AV. BOEDO,AUTOPISTA,AUTOPISTA 25 DE MAYO,cruce_de_calles,5,-58.41595919,-34.62743346,MOTO-CARGAS,MOTO,CARGAS,13,Monday,Dia_de_Semana
149,20170010,1,2017-01-16,2017,1,16,16:30:00,Tarde,AV. DIRECTORIO Y RIGLOS,AVENIDA,DIRECTORIO AV.,cruce_de_calles,6,-58.43564880,-34.62828656,MOTO-AUTO,MOTO,AUTO,16,Monday,Dia_de_Semana
150,20170011,1,2017-01-22,2017,1,22,02:30:00,Madrugada,AV. GRAL. PAZ Y AV. R. BALBIN,AVENIDA,"PAZ, GRAL. AV.",cruce_de_calles,12,-58.50073810,-34.54979510,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO,2,Sunday,Fin_de_Semana
151,20170012,1,2017-01-24,2017,1,24,14:00:00,Tarde,TRAFUL Y DIOGENES TABORDA,CALLE,TRAFUL,cruce_de_calles,4,-58.40969005,-34.65055290,MOTO-CARGAS,MOTO,CARGAS,14,Tuesday,Dia_de_Semana
152,20170013,1,2017-01-27,2017,1,27,07:00:00,Mañana,IRIARTE 3055,AVENIDA,"IRIARTE, GRAL. AV.",3055.0,4,-58.38972622,-34.65098981,PEATON-CARGAS,PEATON,CARGAS,7,Friday,Dia_de_Semana
153,20170014,1,2017-01-28,2017,1,28,08:27:34,Mañana,AV. DONADO Y ARIAS,AVENIDA,DONADO,cruce_de_calles,12,-58.49185972,-34.55046754,MULTIPLE,MOTO,MULTIPLE,8,Saturday,Fin_de_Semana
154,20170015,1,2017-02-02,2017,2,2,15:18:03,Tarde,CORDOBA AV. Y CALLAO,AVENIDA,CORDOBA AV.,cruce_de_calles,2,-58.39293417,-34.59963642,PEATON-AUTO,PEATON,AUTO,15,Thursday,Dia_de_Semana
155,20170016,1,2017-02-03,2017,2,3,05:12:21,Madrugada,"AU 25 DE MAYO, KILOMETRO 8.3, SENTIDO HACIA PROVINCIA DE BUENOS AIRES, C.A.B.A.",AUTOPISTA,AUTOPISTA 25 DE MAYO,cruce_de_calles,1,-58.38099494,-34.62288231,MOTO-CARGAS,MOTO,CARGAS,5,Friday,Dia_de_Semana
156,20170017,1,2017-02-06,2017,2,6,08:00:00,Mañana,AV. JUAN B JUSTO Y PARAGUAY,AVENIDA,"JUSTO, JUAN B. AV.",cruce_de_calles,14,-58.42901200,-34.58095431,MOTO-AUTO,MOTO,AUTO,8,Monday,Dia_de_Semana
157,20170018,1,2017-02-09,2017,2,9,07:00:00,Mañana,AV. GRAL. PAZ Y AV. DE LOS CORRALES,AVENIDA,"PAZ, GRAL. AV.",cruce_de_calles,9,-58.50877521,-34.66977709,MOTO-AUTO,MOTO,AUTO,7,Thursday,Dia_de_Semana
